routeBreakId, breakStartDateTime, breakEndDateTime, breakStartDateTimeLocal, breakEndDateTimeLocal, routeEventType, routeId, stopId, segmentId, cost
1,02/05/2016 14:29,02/05/2016 14:29,02/05/2016 14:29,02/05/2016 14:29,"Long","000001",,"2",
2,02/05/2016 22:29,02/05/2016 22:29,02/05/2016 22:29,02/05/2016 22:29,"Long","000001",,"3",
3,03/31/2016 02:16,03/31/2016 02:16,03/31/2016 02:16,03/31/2016 02:16,"Long","000002",,"5",
4,03/23/2016 04:33,03/23/2016 04:33,03/23/2016 04:33,03/23/2016 04:33,"Long","000003",,"7",
5,01/19/2016 02:16,01/19/2016 02:16,01/19/2016 02:16,01/19/2016 02:16,"Long","000004",,"9",
6,02/09/2016 02:16,02/09/2016 02:16,02/09/2016 02:16,02/09/2016 02:16,"Long","000006",,"12",
7,02/17/2016 21:20,02/17/2016 21:20,02/17/2016 21:20,02/17/2016 21:20,"Long","000008",,"15",
8,02/18/2016 05:20,02/18/2016 05:20,02/18/2016 05:20,02/18/2016 05:20,"Long","000008",,"16",
9,01/06/2016 08:00,01/06/2016 08:00,01/06/2016 08:00,01/06/2016 08:00,"Long","000009",,"18",
10,01/06/2016 16:00,01/06/2016 16:00,01/06/2016 16:00,01/06/2016 16:00,"Long","000009",,"19",
11,02/20/2016 04:33,02/20/2016 04:33,02/20/2016 04:33,02/20/2016 04:33,"Long","000013",,"24",
12,04/09/2016 04:33,04/09/2016 04:33,04/09/2016 04:33,04/09/2016 04:33,"Long","000014",,"26",
13,02/26/2016 08:00,02/26/2016 08:00,02/26/2016 08:00,02/26/2016 08:00,"Long","000016",,"29",
14,02/26/2016 16:00,02/26/2016 16:00,02/26/2016 16:00,02/26/2016 16:00,"Long","000016",,"30",
15,04/27/2016 04:33,04/27/2016 04:33,04/27/2016 04:33,04/27/2016 04:33,"Long","000017",,"32",
16,04/27/2016 12:33,04/27/2016 12:33,04/27/2016 12:33,04/27/2016 12:33,"Long","000017",,"33",
17,04/21/2016 02:16,04/21/2016 02:16,04/21/2016 02:16,04/21/2016 02:16,"Long","000018",,"35",
18,04/15/2016 02:16,04/15/2016 02:16,04/15/2016 02:16,04/15/2016 02:16,"Long","000024",,"42",
19,03/16/2016 21:20,03/16/2016 21:20,03/16/2016 21:20,03/16/2016 21:20,"Long","000025",,"44",
20,04/26/2016 17:00,04/26/2016 17:00,04/26/2016 17:00,04/26/2016 17:00,"Long","000026",,"46",
21,04/27/2016 01:00,04/27/2016 01:00,04/27/2016 01:00,04/27/2016 01:00,"Long","000026",,"47",
22,04/21/2016 03:45,04/21/2016 03:45,04/21/2016 03:45,04/21/2016 03:45,"Long","000028",,"50",
23,01/22/2016 13:21,01/22/2016 13:21,01/22/2016 13:21,01/22/2016 13:21,"Long","000030",,"53",
24,01/22/2016 21:21,01/22/2016 21:21,01/22/2016 21:21,01/22/2016 21:21,"Long","000030",,"54",
25,02/08/2016 23:12,02/08/2016 23:12,02/08/2016 23:12,02/08/2016 23:12,"Long","000031",,"56",
26,04/03/2016 08:00,04/03/2016 08:00,04/03/2016 08:00,04/03/2016 08:00,"Long","000032",,"58",
27,04/03/2016 18:00,04/03/2016 18:00,04/03/2016 18:00,04/03/2016 18:00,"Long","000032",,"59",
28,04/04/2016 02:00,04/04/2016 02:00,04/04/2016 02:00,04/04/2016 02:00,"Long","000032",,"59",
29,04/04/2016 10:00,04/04/2016 10:00,04/04/2016 10:00,04/04/2016 10:00,"Long","000032",,"59",
30,04/04/2016 18:00,04/04/2016 18:00,04/04/2016 18:00,04/04/2016 18:00,"Long","000032",,"59",
31,04/05/2016 02:00,04/05/2016 02:00,04/05/2016 02:00,04/05/2016 02:00,"Long","000032",,"59",
32,04/14/2016 12:27,04/14/2016 12:27,04/14/2016 12:27,04/14/2016 12:27,"Long","000034",,"62",
33,04/14/2016 20:27,04/14/2016 20:27,04/14/2016 20:27,04/14/2016 20:27,"Long","000034",,"63",
34,01/15/2016 13:21,01/15/2016 13:21,01/15/2016 13:21,01/15/2016 13:21,"Long","000035",,"65",
35,01/15/2016 21:21,01/15/2016 21:21,01/15/2016 21:21,01/15/2016 21:21,"Long","000035",,"66",
36,09/05/2016 03:45,09/05/2016 03:45,09/05/2016 03:45,09/05/2016 03:45,"Long","000036",,"68",
37,01/04/2016 03:45,01/04/2016 03:45,01/04/2016 03:45,01/04/2016 03:45,"Long","000038",,"71",
38,01/04/2016 11:45,01/04/2016 11:45,01/04/2016 11:45,01/04/2016 11:45,"Long","000038",,"72",
39,02/26/2016 03:45,02/26/2016 03:45,02/26/2016 03:45,02/26/2016 03:45,"Long","000039",,"74",
40,02/26/2016 11:45,02/26/2016 11:45,02/26/2016 11:45,02/26/2016 11:45,"Long","000039",,"75",
41,04/08/2016 18:13,04/08/2016 18:13,04/08/2016 18:13,04/08/2016 18:13,"Long","000040",,"77",
42,01/09/2016 03:45,01/09/2016 03:45,01/09/2016 03:45,01/09/2016 03:45,"Long","000041",,"79",
43,01/09/2016 11:45,01/09/2016 11:45,01/09/2016 11:45,01/09/2016 11:45,"Long","000041",,"80",
44,02/15/2016 17:54,02/15/2016 17:54,02/15/2016 17:54,02/15/2016 17:54,"Long","000042",,"82",
45,02/16/2016 01:54,02/16/2016 01:54,02/16/2016 01:54,02/16/2016 01:54,"Long","000042",,"83",
46,02/19/2016 23:12,02/19/2016 23:12,02/19/2016 23:12,02/19/2016 23:12,"Long","000043",,"85",
47,02/05/2016 05:57,02/05/2016 05:57,02/05/2016 05:57,02/05/2016 05:57,"Long","000044",,"87",
48,02/05/2016 13:57,02/05/2016 13:57,02/05/2016 13:57,02/05/2016 13:57,"Long","000044",,"87",
49,02/05/2016 21:57,02/05/2016 21:57,02/05/2016 21:57,02/05/2016 21:57,"Long","000044",,"87",
50,04/15/2016 08:00,04/15/2016 08:00,04/15/2016 08:00,04/15/2016 08:00,"Long","000045",,"88",
51,04/15/2016 16:00,04/15/2016 16:00,04/15/2016 16:00,04/15/2016 16:00,"Long","000045",,"89",
52,04/16/2016 00:00,04/16/2016 00:00,04/16/2016 00:00,04/16/2016 00:00,"Long","000045",,"89",
53,01/08/2016 21:11,01/08/2016 21:11,01/08/2016 21:11,01/08/2016 21:11,"Long","000046",,"90",
54,01/04/2016 00:00,01/04/2016 00:00,01/04/2016 00:00,01/04/2016 00:00,"Long","000047",,"92",
55,01/04/2016 08:00,01/04/2016 08:00,01/04/2016 08:00,01/04/2016 08:00,"Long","000047",,"92",
56,01/04/2016 16:00,01/04/2016 16:00,01/04/2016 16:00,01/04/2016 16:00,"Long","000047",,"92",
57,02/26/2016 05:57,02/26/2016 05:57,02/26/2016 05:57,02/26/2016 05:57,"Long","000048",,"94",
58,02/26/2016 13:57,02/26/2016 13:57,02/26/2016 13:57,02/26/2016 13:57,"Long","000048",,"94",
59,02/26/2016 21:57,02/26/2016 21:57,02/26/2016 21:57,02/26/2016 21:57,"Long","000048",,"94",
60,09/13/2016 21:11,09/13/2016 21:11,09/13/2016 21:11,09/13/2016 21:11,"Long","000049",,"95",
61,04/08/2016 00:00,04/08/2016 00:00,04/08/2016 00:00,04/08/2016 00:00,"Long","000050",,"97",
62,04/08/2016 08:00,04/08/2016 08:00,04/08/2016 08:00,04/08/2016 08:00,"Long","000050",,"97",
63,04/08/2016 16:00,04/08/2016 16:00,04/08/2016 16:00,04/08/2016 16:00,"Long","000050",,"97",
64,01/20/2016 05:57,01/20/2016 05:57,01/20/2016 05:57,01/20/2016 05:57,"Long","000053",,"101",
65,01/20/2016 13:57,01/20/2016 13:57,01/20/2016 13:57,01/20/2016 13:57,"Long","000053",,"101",
66,01/20/2016 21:57,01/20/2016 21:57,01/20/2016 21:57,01/20/2016 21:57,"Long","000053",,"101",
67,01/27/2016 05:57,01/27/2016 05:57,01/27/2016 05:57,01/27/2016 05:57,"Long","000056",,"105",
68,01/27/2016 13:57,01/27/2016 13:57,01/27/2016 13:57,01/27/2016 13:57,"Long","000056",,"105",
69,01/27/2016 21:57,01/27/2016 21:57,01/27/2016 21:57,01/27/2016 21:57,"Long","000056",,"105",
70,01/12/2016 21:11,01/12/2016 21:11,01/12/2016 21:11,01/12/2016 21:11,"Long","000057",,"106",
71,04/26/2016 21:11,04/26/2016 21:11,04/26/2016 21:11,04/26/2016 21:11,"Long","000061",,"110",
